CONTRACT_D,PREVIOUS_S,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRIC,SETTLEMENT,NET_CHANGE,OI_NO_CON,TRADED_QUA,TRD_NO_CON,UNDRLNG_ST,NOTIONAL_V,PREMIUM_TR
OPTCUREURINR29-DEC-2021CE85,8.3075000,0.0000,0.0000,0.0000,9.4175,7.9550,0.35,0,0,0,,0.0000000,0.0000000
OPTCUREURINR28-JUL-2021PE85,0.0850000,0.0000,0.0000,0.0000,0.0800,0.1050,0.02,0,0,0,,0.0000000,0.0000000
OPTCUREURINR25-JUN-2021CE85,5.7075000,0.0000,0.0000,0.0000,4.7450,5.3250,0.38,0,0,0,,0.0000000,0.0000000
OPTCUREURINR25-JUN-2021PE85,0.0375000,0.0000,0.0000,0.0000,0.1575,0.0475,0.01,0,0,0,,0.0000000,0.0000000
OPTCUREURINR02-JUL-2021PE85,0.0475000,0.0000,0.0000,0.0000,0.0775,0.0600,0.01,0,0,0,,0.0000000,0.0000000
OPTCUREURINR11-JUN-2021PE85,0.0175000,0.0000,0.0000,0.0000,0.3900,0.0250,0.01,0,0,0,,0.0000000,0.0000000
OPTCUREURINR27-MAY-2021PE85,0.0050000,0.0000,0.0000,0.0000,0.1775,0.0075,0.00,0,0,0,,0.0000000,0.0000000
OPTCUREURINR21-MAY-2021PE85,0.0025000,0.0000,0.0000,0.0000,0.1125,0.0025,0.00,0,0,0,,0.0000000,0.0000000
OPTCUREURINR30-APR-2021CE85,4.9150000,0.0000,0.0000,0.0000,3.9875,89.6905,84.78,0,0,0,89.69,0.0000000,0.0000000
OPTCUREURINR02-JUL-2021CE85,5.8075000,0.0000,0.0000,0.0000,5.8475,5.4200,0.39,0,0,0,,0.0000000,0.0000000
OPTCUREURINR29-MAR-2022CE85,9.4950000,0.0000,0.0000,0.0000,6.7200,9.1450,0.35,0,0,0,,0.0000000,0.0000000
OPTCUREURINR21-MAY-2021CE85,5.2150000,0.0000,0.0000,0.0000,5.0925,4.8225,0.39,0,0,0,,0.0000000,0.0000000
OPTCUREURINR16-JUL-2021PE85,0.0000000,0.0000,0.0000,0.0000,0.0675,0.0850,0.00,0,0,0,,0.0000000,0.0000000
